,session_id,user_id,music_id,previous_value,new_value,updated_value
0,565.0,6,99,0.25,0.3477712273597717,0.2988856136798858
0,567.0,16,15,0.5,0.4743824005126953,0.4871912002563476
0,567.0,16,20,0.25,0.4902074337005615,0.3701037168502807
0,567.0,16,23,0.625,0.4652016162872314,0.5451008081436157
0,567.0,16,38,0.5,0.4951176196336746,0.4975588098168373
0,567.0,16,60,1.0,0.5198825001716614,0.7599412500858307
0,567.0,16,72,0.375,0.5102777481079102,0.4426388740539551
0,568.0,17,39,0.75,0.5737778345743815,0.6618889172871907
0,571.0,14,9,0.25,0.3545308947563171,0.3022654473781586
0,571.0,14,99,0.25,0.3292993967022214,0.2896496983511107
0,572.0,16,11,1.0,0.5549601316452026,0.7774800658226013
0,572.0,16,15,0.4871912002563476,0.4433681766192118,0.4652796884377797
0,572.0,16,20,0.3701037168502807,0.5167773763338724,0.4434405465920765
0,572.0,16,21,0.75,0.5274021849036217,0.6387010924518108
0,572.0,16,49,0.625,0.4496272504329681,0.5373136252164841
0,572.0,16,60,0.7599412500858307,0.6113407760858536,0.6856410130858421
0,572.0,16,72,0.4426388740539551,0.5000944137573242,0.4713666439056396
0,573.0,16,9,0.3090764820575714,0.5673721035321554,0.4382242927948634
0,573.0,16,91,0.4790203099449475,0.4866213202476501,0.4828208150962988
0,573.0,16,99,0.25,0.534303605556488,0.392151802778244
0,576.0,14,99,0.2896496983511107,0.2596536810908998,0.2746516897210053
0,578.0,14,23,0.625,0.2173828606804212,0.4211914303402106
0,578.0,14,38,0.5,0.2831940241158008,0.3915970120579004
0,578.0,14,48,0.5,0.3690174520015716,0.4345087260007858
0,582.0,6,38,0.5,0.3247608616948128,0.4123804308474064
0,582.0,6,48,0.4007872492074966,0.4422700802485148,0.4215286647280057
0,582.0,6,72,0.375,0.2858028560876846,0.3304014280438423
0,583.0,6,15,0.5,0.2887032330036163,0.3943516165018081
0,583.0,6,23,0.625,0.4123187611500422,0.5186593805750211
0,583.0,6,38,0.4123804308474064,0.2885390967130661,0.3504597637802362
0,583.0,6,72,0.3304014280438423,0.3222338631749153,0.3263176456093788
0,585.0,5,4,0.5,0.3141751810908317,0.4070875905454159
0,585.0,5,5,0.125,0.3760398825009663,0.2505199412504831
0,585.0,5,7,0.5,0.4590120315551758,0.4795060157775879
0,585.0,5,11,0.7252383877833685,0.4102244178454081,0.5677314028143883
0,585.0,5,14,0.75,0.3416128247976303,0.5458064123988151
0,585.0,5,17,0.25,0.3260614648461342,0.2880307324230671
0,585.0,5,19,0.625,0.3761744797229767,0.5005872398614883
0,585.0,5,21,0.5310892518609762,0.3174484334886074,0.4242688426747918
0,585.0,5,42,0.6563675999641418,0.2831356167793274,0.4697516083717346
0,585.0,5,46,0.75,0.3118551939725876,0.5309275969862938
0,585.0,5,49,0.4763655122369528,0.4665834158658981,0.4714744640514254
0,585.0,5,54,1.0,0.3128664096196492,0.6564332048098246
