,session_id,user_id,music_id,previous_value,new_value,updated_value
0,585.0,5,54,0.3891657637485566,0.3128664096196492,0.3510160866841029
0,585.0,5,68,0.3510160866841029,0.2768018960952759,0.3139089913896894
0,585.0,5,73,0.3139089913896894,0.404679000377655,0.3592939958836722
0,585.0,5,84,0.3592939958836722,0.3569112688302994,0.3581026323569858
0,585.0,5,87,0.3581026323569858,0.3719249367713928,0.3650137845641893
0,585.0,5,89,0.3650137845641893,0.4037293394406636,0.3843715620024265
0,588.0,5,2,0.3843715620024265,0.4120371341705322,0.3982043480864793
0,588.0,5,27,0.3982043480864793,0.3039974737912416,0.3511009109388605
0,588.0,5,33,0.3511009109388605,0.3039781351884206,0.3275395230636405
0,588.0,5,50,0.3275395230636405,0.3725374241669972,0.3500384736153188
0,588.0,5,78,0.3500384736153188,0.335086852312088,0.3425626629637034
0,588.0,5,88,0.3425626629637034,0.2412223778665065,0.291892520415105
0,588.0,5,90,0.291892520415105,0.3585386425256729,0.325215581470389
0,589.0,5,1,0.325215581470389,0.3359619826078415,0.3305887820391152
0,589.0,5,61,0.3305887820391152,0.3955865204334259,0.3630876512362705
0,592.0,6,11,0.3237057897475703,0.3542939027150472,0.3389998462313087
0,592.0,6,42,0.3389998462313087,0.2730220705270767,0.3060109583791927
0,592.0,6,46,0.3060109583791927,0.3201428294181824,0.3130768938986875
0,592.0,6,49,0.3130768938986875,0.2899006307125091,0.3014887623055983
0,592.0,6,84,0.3014887623055983,0.3251300871372223,0.3133094247214103
0,595.0,6,7,0.3133094247214103,0.3482883671919505,0.3307988959566804
0,595.0,6,14,0.3307988959566804,0.3410701851050059,0.3359345405308431
0,595.0,6,50,0.3359345405308431,0.4248518943786621,0.3803932174547526
0,595.0,6,68,0.3803932174547526,0.3507596969604492,0.3655764572076009
0,595.0,6,87,0.3655764572076009,0.2569680611292521,0.3112722591684265
0,595.0,6,88,0.3112722591684265,0.251510997613271,0.2813916283908487
0,596.0,14,15,0.3202492202673705,0.3575375626484553,0.3388933914579129
0,596.0,14,20,0.3388933914579129,0.2491400837898254,0.2940167376238691
0,596.0,14,23,0.2940167376238691,0.2216703568895658,0.2578435472567174
0,596.0,14,38,0.2578435472567174,0.2684492692351341,0.2631464082459257
0,596.0,14,48,0.2631464082459257,0.4166641533374786,0.3399052807917022
0,596.0,14,60,0.3399052807917022,0.3660419210791588,0.3529736009354305
0,596.0,14,72,0.3529736009354305,0.2926306966692209,0.3228021488023257
0,597.0,5,3,0.3630876512362705,0.3320340812206268,0.3475608662284487
0,597.0,5,12,0.3475608662284487,0.2903593573719263,0.3189601118001874
0,597.0,5,25,0.3189601118001874,0.2879318483173847,0.3034459800587861
0,597.0,5,35,0.3034459800587861,0.2118527094523112,0.2576493447555486
0,597.0,5,36,0.2576493447555486,0.2760586179792881,0.2668539813674183
0,597.0,5,44,0.2668539813674183,0.3555208047231038,0.311187393045261
0,597.0,5,63,0.311187393045261,0.1886962279677391,0.2499418105065
0,597.0,5,71,0.2499418105065,0.3566258363425731,0.3032838234245366
0,597.0,5,75,0.3032838234245366,0.2889486749966939,0.2961162492106152
0,597.0,5,77,0.2961162492106152,0.3558057943979899,0.3259610218043025
0,597.0,5,83,0.3259610218043025,0.3189491853117943,0.3224551035580484
0,598.0,6,22,0.2813916283908487,0.3087003231048584,0.2950459757478535
0,598.0,6,29,0.2950459757478535,0.328860859076182,0.3119534174120177
0,598.0,6,39,0.3119534174120177,0.4473672310511271,0.3796603242315724
0,598.0,6,91,0.3796603242315724,0.2859147389729817,0.3327875316022771
0,599.0,6,18,0.3327875316022771,0.3665277745042528,0.3496576530532649
0,599.0,6,26,0.3496576530532649,0.2588342636823654,0.3042459583678151
0,599.0,6,67,0.3042459583678151,0.2603684812784195,0.2823072198231173
0,601.0,16,48,0.525154133644376,0.4641090333461761,0.4946315834952761
0,601.0,16,91,0.4946315834952761,0.5896592736244202,0.5421454285598482
0,601.0,16,99,0.5421454285598482,0.5179571253912789,0.5300512769755635
0,602.0,15,38,0.0,0.3274499575297038,0.1637249787648519
0,603.0,6,11,0.2823072198231173,0.2859372993310292,0.2841222595770732
0,603.0,6,42,0.2841222595770732,0.3205433547496795,0.3023328071633764
0,603.0,6,49,0.3023328071633764,0.3291236460208893,0.3157282265921328
0,606.0,13,91,0.0,0.4293993314107259,0.2146996657053629
0,608.0,14,72,0.3228021488023257,0.2907512225210666,0.3067766856616962
0,609.0,6,23,0.3157282265921328,0.443847914536794,0.3797880705644634
0,609.0,6,38,0.3797880705644634,0.3848599791526794,0.3823240248585714
0,609.0,6,48,0.3823240248585714,0.3874329328536987,0.3848784788561351
0,610.0,15,11,0.1637249787648519,0.3038002004226048,0.2337625895937283
0,610.0,15,15,0.2337625895937283,0.1707226385672887,0.2022426140805085
0,610.0,15,21,0.2022426140805085,0.2687994129955768,0.2355210135380426
0,610.0,15,23,0.2355210135380426,0.1758198042710622,0.2056704089045524
0,610.0,15,38,0.2056704089045524,0.2148952446877956,0.210282826796174
0,610.0,15,45,0.210282826796174,0.243774284919103,0.2270285558576384
0,610.0,15,48,0.2270285558576384,0.2123164311051368,0.2196724934813876
0,610.0,15,60,0.2196724934813876,0.2303754352033138,0.2250239643423507
0,610.0,15,72,0.2250239643423507,0.251574981957674,0.2382994731500123
0,611.0,15,9,0.2382994731500123,0.345378577709198,0.2918390254296051
0,611.0,15,15,0.2918390254296051,0.2886211673418681,0.2902300963857366
0,611.0,15,23,0.2902300963857366,0.2438026865323384,0.2670163914590375
0,611.0,15,39,0.2670163914590375,0.2835765977700551,0.2752964946145463
0,611.0,15,48,0.2752964946145463,0.3412514105439186,0.3082739525792324
0,611.0,15,91,0.3082739525792324,0.3403666814168294,0.3243203169980309
0,611.0,15,99,0.3243203169980309,0.3042740800551006,0.3142971985265657
0,613.0,14,48,0.3067766856616962,0.424566775560379,0.3656717306110376
0,615.0,14,45,0.3656717306110376,0.3430618519584338,0.3543667912847357
0,615.0,14,60,0.3543667912847357,0.5221854150295258,0.4382761031571307
0,616.0,16,9,0.5300512769755635,0.4857000360886256,0.5078756565320945
0,616.0,16,39,0.5078756565320945,0.5338263213634491,0.5208509889477718
0,616.0,16,91,0.5208509889477718,0.4233940169215202,0.472122502934646
0,616.0,16,99,0.472122502934646,0.4330861568450928,0.4526043298898694
0,617.0,14,5,0.4382761031571307,0.3029097119967143,0.3705929075769225
0,617.0,14,17,0.3705929075769225,0.2899651117622852,0.3302790096696039
0,617.0,14,73,0.3302790096696039,0.4520512074232101,0.391165108546407
0,617.0,14,100,0.391165108546407,0.2626403346657753,0.3269027216060911
0,619.0,6,11,0.3848784788561351,0.3079428921143214,0.3464106854852282
0,619.0,6,21,0.3464106854852282,0.3012512177228927,0.3238309516040605
0,619.0,6,45,0.3238309516040605,0.2896670202414195,0.30674898592274
0,619.0,6,60,0.30674898592274,0.2516169622540474,0.2791829740883937
